timestamp,open,high,low,close,volume
2026-09-14T00:00:00Z,3680.00,3683.37,3677.00,3680.37,800
2026-09-14T00:05:00Z,3680.37,3683.85,3677.25,3680.73,814
2026-09-14T00:10:00Z,3680.73,3684.33,3677.50,3681.10,828
2026-09-14T00:15:00Z,3681.10,3684.81,3677.75,3681.46,842
2026-09-14T00:20:00Z,3681.46,3685.29,3677.99,3681.82,856
2026-09-14T00:25:00Z,3681.82,3685.77,3678.24,3682.19,870
2026-09-14T00:30:00Z,3682.19,3686.24,3678.50,3682.55,883
2026-09-14T00:35:00Z,3682.55,3686.71,3678.75,3682.91,897
2026-09-14T00:40:00Z,3682.91,3687.17,3679.00,3683.27,910
2026-09-14T00:45:00Z,3683.27,3687.63,3679.26,3683.62,923
2026-09-14T00:50:00Z,3683.62,3688.09,3679.51,3683.98,936
2026-09-14T00:55:00Z,3683.98,3688.53,3679.77,3684.33,949
2026-09-14T01:00:00Z,3684.33,3688.97,3680.03,3684.68,962
2026-09-14T01:05:00Z,3684.68,3689.41,3680.29,3685.02,974
2026-09-14T01:10:00Z,3685.02,3689.83,3680.55,3685.36,986
2026-09-14T01:15:00Z,3685.36,3690.25,3680.82,3685.70,997
2026-09-14T01:20:00Z,3685.70,3690.66,3681.09,3686.04,1008
2026-09-14T01:25:00Z,3686.04,3691.06,3681.36,3686.37,1019
2026-09-14T01:30:00Z,3686.37,3691.45,3681.63,3686.70,1030
2026-09-14T01:35:00Z,3686.70,3691.83,3681.90,3687.03,1040
2026-09-14T01:40:00Z,3687.03,3692.20,3682.18,3687.35,1049
2026-09-14T01:45:00Z,3687.35,3692.55,3682.46,3687.67,1058
2026-09-14T01:50:00Z,3687.67,3692.90,3682.74,3687.98,1067
2026-09-14T01:55:00Z,3687.98,3693.24,3683.03,3688.29,1075
2026-09-14T02:00:00Z,3688.29,3693.56,3683.31,3688.59,1083
2026-09-14T02:05:00Z,3688.59,3693.87,3683.60,3688.88,1091
2026-09-14T02:10:00Z,3688.88,3694.18,3683.89,3689.18,1097
2026-09-14T02:15:00Z,3689.18,3694.46,3684.18,3689.46,1104
2026-09-14T02:20:00Z,3689.46,3694.74,3684.47,3689.74,1109
2026-09-14T02:25:00Z,3689.74,3695.00,3684.76,3690.02,1115
2026-09-14T02:30:00Z,3690.02,3695.25,3685.06,3690.29,1119
2026-09-14T02:35:00Z,3690.29,3695.49,3685.35,3690.55,1124
2026-09-14T02:40:00Z,3690.55,3695.71,3685.65,3690.81,1127
2026-09-14T02:45:00Z,3690.81,3695.92,3685.95,3691.06,1130
2026-09-14T02:50:00Z,3691.06,3696.12,3686.24,3691.30,1133
2026-09-14T02:55:00Z,3691.30,3696.31,3686.54,3691.54,1135
2026-09-14T03:00:00Z,3691.54,3696.48,3686.83,3691.77,1136
2026-09-14T03:05:00Z,3691.77,3696.64,3687.13,3692.00,1137
2026-09-14T03:10:00Z,3692.00,3696.79,3687.42,3692.21,1137
2026-09-14T03:15:00Z,3692.21,3696.92,3687.72,3692.42,1137
2026-09-14T03:20:00Z,3692.42,3697.05,3688.01,3692.63,1136
2026-09-14T03:25:00Z,3692.63,3697.16,3688.29,3692.82,1134
2026-09-14T03:30:00Z,3692.82,3697.25,3688.58,3693.01,1132
2026-09-14T03:35:00Z,3693.01,3697.34,3688.86,3693.19,1130
2026-09-14T03:40:00Z,3693.19,3697.42,3689.14,3693.36,1127
2026-09-14T03:45:00Z,3693.36,3697.48,3689.42,3693.53,1123
2026-09-14T03:50:00Z,3693.53,3697.53,3689.69,3693.69,1119
2026-09-14T03:55:00Z,3693.69,3697.57,3689.95,3693.84,1114
2026-09-14T04:00:00Z,3693.84,3697.60,3690.21,3693.98,1109
2026-09-14T04:05:00Z,3693.98,3697.62,3690.47,3694.11,1103
2026-09-14T04:10:00Z,3694.11,3697.64,3690.71,3694.24,1097
2026-09-14T04:15:00Z,3694.24,3697.64,3690.96,3694.36,1090
2026-09-14T04:20:00Z,3694.36,3697.63,3691.19,3694.46,1083
2026-09-14T04:25:00Z,3694.46,3697.61,3691.42,3694.57,1076
2026-09-14T04:30:00Z,3694.57,3697.73,3691.50,3694.66,1068
2026-09-14T04:35:00Z,3694.66,3697.93,3691.47,3694.74,1060
2026-09-14T04:40:00Z,3694.74,3698.12,3691.44,3694.82,1051
2026-09-14T04:45:00Z,3694.82,3698.31,3691.40,3694.89,1042
2026-09-14T04:50:00Z,3694.89,3698.48,3691.35,3694.95,1032
2026-09-14T04:55:00Z,3694.95,3698.65,3691.30,3695.00,1022
2026-09-14T05:00:00Z,3695.00,3698.80,3691.24,3695.04,1012
2026-09-14T05:05:00Z,3695.04,3698.94,3691.18,3695.08,1002
2026-09-14T05:10:00Z,3695.08,3699.07,3691.11,3695.10,991
2026-09-14T05:15:00Z,3695.10,3699.19,3691.03,3695.12,981
2026-09-14T05:20:00Z,3695.12,3699.30,3690.96,3695.13,969
2026-09-14T05:25:00Z,3695.13,3699.40,3690.87,3695.13,958
2026-09-14T05:30:00Z,3695.13,3699.48,3690.78,3695.13,947
2026-09-14T05:35:00Z,3695.13,3699.56,3690.68,3695.11,935
2026-09-14T05:40:00Z,3695.11,3699.63,3690.58,3695.09,923
2026-09-14T05:45:00Z,3695.09,3699.68,3690.47,3695.06,911
2026-09-14T05:50:00Z,3695.06,3699.72,3690.37,3695.02,899
2026-09-14T05:55:00Z,3695.02,3699.74,3690.26,3694.98,887
2026-09-14T06:00:00Z,3694.98,3699.75,3690.14,3694.92,875
2026-09-14T06:05:00Z,3694.92,3699.75,3690.03,3694.86,883
2026-09-14T06:10:00Z,3694.86,3699.73,3689.92,3694.79,897
2026-09-14T06:15:00Z,3694.79,3699.70,3689.80,3694.71,911
2026-09-14T06:20:00Z,3694.71,3699.65,3689.68,3694.63,925
2026-09-14T06:25:00Z,3694.63,3699.59,3689.57,3694.53,938
2026-09-14T06:30:00Z,3694.53,3699.52,3689.45,3694.43,952
2026-09-14T06:35:00Z,3694.43,3699.43,3689.33,3694.33,966
2026-09-14T06:40:00Z,3694.33,3699.33,3689.21,3694.21,979
2026-09-14T06:45:00Z,3694.21,3699.21,3689.09,3694.09,992
